State,Station Name,Date,Air Quality Index
Andhra Pradesh,"Anand Kala Kshetram, Rajamahendravaram ? APPCB",14-01-20,216
Andhra Pradesh,"Anand Kala Kshetram, Rajamahendravaram ? APPCB",24-03-20,62
Andhra Pradesh,"Anand Kala Kshetram, Rajamahendravaram ? APPCB",31-03-20,69
Andhra Pradesh,"Anand Kala Kshetram, Rajamahendravaram ? APPCB",07-04-20,29
Andhra Pradesh,"Anand Kala Kshetram, Rajamahendravaram ? APPCB",14-04-20,37
Bihar,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-01-20,367
Bihar,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",24-03-20,266
Bihar,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",31-03-20,134
Bihar,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",07-04-20,65
Bihar,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-04-20,84
Chandigarh,"Sector-25, Chandigarh ? CPCC",14-01-20,75
Chandigarh,"Sector-25, Chandigarh ? CPCC",24-03-20,35
Chandigarh,"Sector-25, Chandigarh ? CPCC",31-03-20,38
Chandigarh,"Sector-25, Chandigarh ? CPCC",07-04-20,41
Chandigarh,"Sector-25, Chandigarh ? CPCC",14-04-20,45
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-01-20,301
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",24-03-20,99
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",31-03-20,24
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",07-04-20,37
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-04-20,53
Haryana,"Sector- 16A, Faridabad ? HSPCB",14-01-20,315
Haryana,"Sector- 16A, Faridabad ? HSPCB",24-03-20,151
Haryana,"Sector- 16A, Faridabad ? HSPCB",31-03-20,121
Haryana,"Sector- 16A, Faridabad ? HSPCB",07-04-20,121
Haryana,"Sector- 16A, Faridabad ? HSPCB",14-04-20,78
Karnataka,"Peenya, Bengaluru ? CPCB",14-01-20,143
Karnataka,"Peenya, Bengaluru ? CPCB",24-03-20,105
Karnataka,"Peenya, Bengaluru ? CPCB",31-03-20,50
Karnataka,"Peenya, Bengaluru ? CPCB",07-04-20,57
Karnataka,"Peenya, Bengaluru ? CPCB",14-04-20,63
Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ? MPCB",14-01-20,122
Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ? MPCB",24-03-20,94
Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ? MPCB",31-03-20,68
Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ? MPCB",07-04-20,55
Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ? MPCB",14-04-20,67
Punjab,"Model Town, Patiala ? PPCB",14-01-20,106
Punjab,"Model Town, Patiala ? PPCB",24-03-20,49
Punjab,"Model Town, Patiala ? PPCB",31-03-20,26
Punjab,"Model Town, Patiala ? PPCB",07-04-20,43
Punjab,"Model Town, Patiala ? PPCB",14-04-20,51
Tamil Nadu,"Alandur Bus Depot, Chennai ? CPCB",14-01-20,172
Tamil Nadu,"Alandur Bus Depot, Chennai ? CPCB",24-03-20,42
Tamil Nadu,"Alandur Bus Depot, Chennai ? CPCB",31-03-20,40
Tamil Nadu,"Alandur Bus Depot, Chennai ? CPCB",07-04-20,29
Tamil Nadu,"Alandur Bus Depot, Chennai ? CPCB",14-04-20,27
Telangana,"Alandur Bus Depot, Chennai ? CPCB",14-01-20,130
Telangana,"Alandur Bus Depot, Chennai ? CPCB",24-03-20,64
Telangana,"Alandur Bus Depot, Chennai ? CPCB",31-03-20,64
Telangana,"Alandur Bus Depot, Chennai ? CPCB",07-04-20,47
Telangana,"ICRISAT Patancheru, Hyderabad - TSPCB",14-04-20,77
